Date,LF98TRUU,LUACTRUU,BCOMTR,Russell2000,Russell1000,SPXT
3/29/2013,1515.15,2442.63,276.686,1214.0482,1218.1167,4258.1448
2/28/2013,1499.88,2442.16,274.8341,1160.4574,1172.8388,4104.2169
1/31/2013,1492.3,2423.5,286.5446,1147.7964,1157.2909,4049.2742
12/31/2012,1472.56,2445.25,279.8362,1080.1847,1097.7609,3849.8863
11/30/2012,1449.72,2446.81,287.3272,1042.7805,1086.478,3815.2644
10/31/2012,1438.21,2450.71,287.179,1037.2572,1077.9147,3793.269
9/28/2012,1425.69,2419.55,298.7492,1060.2587,1096.4276,3864.6251
8/31/2012,1406.12,2402.68,293.7393,1026.5491,1068.9323,3767.2733
7/31/2012,1389.85,2397.35,289.9744,993.4033,1043.5968,3684.2437
6/29/2012,1363.9,2330.3,272.3567,1007.3235,1031.3684,3633.7722
5/31/2012,1335.7,2322.06,258.1752,959.4472,993.344,3489.9702
4/30/2012,1353.37,2304.67,284.1211,1027.4076,1058.3872,3713.1353
3/30/2012,1339.35,2272.94,285.3287,1043.5271,1064.5645,3736.601
2/29/2012,1341.22,2295.11,297.6407,1017.4588,1032.2447,3617.7591
1/31/2012,1310.1,2275.95,289.8194,993.6778,988.8526,3467.7951
12/30/2011,1271.5,2226.65,282.8255,928.1056,942.9018,3319.0475
11/30/2011,1238.6,2180.05,293.8383,922.0139,935.0856,3285.514
10/31/2011,1265.89,2223.63,300.5066,925.3894,937.5462,3292.8136
9/30/2011,1194.32,2184.58,281.8526,803.7374,843.053,2968.402
8/31/2011,1234.68,2179.02,330.5607,905.2139,911.0357,3192.858
7/29/2011,1286.16,2177.6,327.2924,991.4748,966.7046,3376.2892
6/30/2011,1271.42,2124.04,317.8776,1028.6559,988.1509,3446.3809
5/31/2011,1283.92,2142.82,334.7639,1052.9319,1005.7333,3504.8021
4/29/2011,1277.69,2112.31,352.5991,1073.0505,1016.6423,3544.9529
3/31/2011,1258.19,2076.6,340.7971,1045.4435,986.9587,3443.0035
2/28/2011,1254.13,2079.38,333.9035,1019.0341,984.4155,3441.6333
1/31/2011,1237.91,2063.03,329.5602,966.0542,951.3237,3327.6512
12/31/2010,1211.19,2058.93,326.2875,968.5501,928.9846,3250.6074
11/30/2010,1189.62,2077.99,294.7787,897.2409,870.8631,3046.9739
10/29/2010,1203.68,2094.99,295.826,867.1651,868.0352,3046.5941
9/30/2010,1173.38,2092.52,281.7853,833.0779,835.5217,2934.9331
8/31/2010,1139.06,2077.99,262.7116,740.7797,765.2165,2694.4654
7/30/2010,1138.65,2037.58,269.5726,800.0166,801.0467,2821.8664
6/30/2010,1099.55,1998.43,252.4697,748.604,749.0139,2637.1202
5/31/2010,1086.03,1956.73,251.6688,811.5033,793.1697,2782.8049
4/30/2010,1126.51,1967.57,270.3876,878.1245,861.4706,3024.296
3/31/2010,1100.71,1932.4,265.2308,831.0925,845.8227,2977.318
2/26/2010,1067.25,1926.64,268.5674,768.7024,796.877,2807.8764
1/29/2010,1065.39,1919.82,258.9532,735.6054,771.4719,2723.5566
12/31/2009,1052.08,1889,279.2789,763.753,800.2682,2825.1909
11/30/2009,1018.66,1903.86,273.8594,706.8925,781.2802,2771.6554
10/30/2009,1008.5,1877.01,264.5539,685.5396,737.9315,2614.9019
9/30/2009,990.72,1863.91,256.153,735.5151,754.6218,2664.4355
8/31/2009,937.34,1831.4,252.185,695.4647,725.1963,2568.5882
7/31/2009,920.18,1798.42,253.663,676.0792,699.7917,2479.1311
6/30/2009,867.39,1723.99,245.722,616.6887,650.1835,2304.8366
5/29/2009,843.24,1678.15,250.488,607.7737,648.6168,2300.2739
4/30/2009,790.08,1615.1,221.662,589.9917,614.6218,2178.4886
3/31/2009,704.77,1560.91,220.049,511.0058,558.1365,1988.2331
2/27/2009,682.99,1567.38,212.396,469.1635,513.2507,1828.1067
1/30/2009,704.86,1598.84,222.249,534.1042,572.4599,2045.9557
12/31/2008,665,1591.62,234.874,600.9542,623.3367,2234.2745
11/28/2008,617.55,1490.33,245.9,568.0688,613.5632,2210.7647
10/31/2008,680.97,1432.06,264.29,644.2947,663.7578,2381.6598
